bd
Unknown Command! (H for help)
B0> bd

MESSAGE: Download initiated press ESC to quit
*B0 B1 0000001DB0 17-06-2023 17:41:08
*B0 B1 0000001DB0 17-06-2023 19:41:08
*B0 B1 0000001DB0 17-06-2023 20:41:09
*B0 B1 0000001DB0 17-06-2023 21:41:09
*B0 B1 0000001DB0 17-06-2023 22:41:09
*B0 B1 0000001DB0 17-06-2023 23:41:09
*B0 B1 0000001DB0 18-06-2023 00:41:10
*B0 B1 0000001DB0 18-06-2023 02:41:10
*B0 B1 0000001DB0 18-06-2023 03:41:11
*B0 B1 0000001DB0 18-06-2023 04:41:11
*B0 B1 0000001DB0 18-06-2023 05:41:11
*B0 B1 0000001DB0 18-06-2023 06:41:12
*B0 B1 0000001DB0 18-06-2023 07:41:12
*B0 B1 0000001DB0 18-06-2023 08:41:12
*B0 B1 0000001DB0 18-06-2023 09:41:12
*B0 B1 0000001DB0 18-06-2023 10:41:13
*B0 B1 0000001DB0 18-06-2023 11:41:13
*B0 B1 0000001DB0 18-06-2023 12:41:13
*B0 B1 0000001DB0 18-06-2023 13:41:14
*B0 B1 0000001DB0 18-06-2023 14:41:14
*B0 B1 0000001DB0 18-06-2023 15:41:14
*B0 B1 0000001DB0 18-06-2023 16:41:14
*B0 B1 0000001DB0 18-06-2023 17:41:15
*B0 B1 0000001DB0 18-06-2023 18:41:15
*B0 B1 0000001DB0 18-06-2023 19:41:15
*B0 B1 0000001DB0 18-06-2023 20:41:15
*B0 B1 0000001DB0 18-06-2023 21:41:16
*B0 B1 0000001DB0 18-06-2023 22:41:16
*B0 B1 0000001DB0 18-06-2023 23:41:16
*B0 B1 0000001DB0 19-06-2023 00:41:17
*B0 B1 0000001DB0 19-06-2023 01:41:17
*B0 B1 0000001DB0 19-06-2023 03:41:18
*B0 B1 0000001DB0 19-06-2023 04:41:18
*B0 B1 0000001DB0 19-06-2023 05:41:18
*B0 B1 0000001DB0 19-06-2023 06:41:19
*B0 B1 0000001DB0 19-06-2023 07:41:19
*B0 B1 0000001DB0 19-06-2023 08:41:19
*B0 B1 0000001DB0 19-06-2023 09:41:19
*B0 B1 0000001DB0 19-06-2023 10:41:20
*B0 B1 0000001DB0 19-06-2023 11:41:20
*B0 B1 0000001DB0 19-06-2023 12:41:20
*B0 B1 0000001DB0 19-06-2023 13:41:20
*B0 B1 0000001DB0 19-06-2023 14:41:21
*B0 B1 0000001DB0 19-06-2023 15:41:21
*B0 B1 0000001DB0 19-06-2023 16:41:21
*B0 B1 0000001DB0 19-06-2023 17:41:22
*B0 B1 0000001DB0 19-06-2023 18:41:22
*B0 B1 0000001DB0 19-06-2023 19:41:22
*B0 B1 0000001DB0 19-06-2023 20:41:22
*B0 B1 0000001DB0 19-06-2023 21:41:23
*B0 B1 0000001DB0 19-06-2023 22:41:23
*B0 B1 0000001DB0 19-06-2023 23:41:23
*B0 B1 0000001DB0 20-06-2023 00:41:24
*B0 B1 0000001DB0 20-06-2023 01:41:24
*B0 B1 0000001DB0 20-06-2023 02:41:24
*B0 B1 003E404042 20-06-2023 02:52:44
*B0 B1 0000001DB0 20-06-2023 03:41:24
*B0 B1 0000001DB0 20-06-2023 04:41:25
*B0 B1 0000001DB0 20-06-2023 05:41:25
*B0 B1 0000001DB0 20-06-2023 07:41:26
*B0 B1 0000001DB0 20-06-2023 08:41:26
*B0 B1 0000001DB0 20-06-2023 09:41:26
*B0 B1 0000001DB0 20-06-2023 10:41:27
*B0 B1 0000001DB0 20-06-2023 11:41:27
*B0 B1 0000001DB0 20-06-2023 12:41:27
*B0 B1 0000001DB0 20-06-2023 13:41:27
*B0 B1 0000001DB0 20-06-2023 14:41:28
*B0 B1 0000001DB0 20-06-2023 15:41:28
*B0 B1 0000001DB0 20-06-2023 16:41:28
*B0 B1 0000001DB0 20-06-2023 17:41:28
*B0 B1 0000001DB0 20-06-2023 19:41:29
*B0 B1 0000001DB0 21-06-2023 02:41:31
*B0 B1 0000001DB0 21-06-2023 03:41:31
*B0 B1 0000001DB0 21-06-2023 04:41:32
*B0 B1 0000001DB0 21-06-2023 07:41:33
*B0 B1 0000001DB0 21-06-2023 08:41:33
*B0 B1 0000001DB0 21-06-2023 09:41:33
*B0 B1 0000001DB0 21-06-2023 10:41:33
*B0 B1 0000001DB0 21-06-2023 11:41:34
*B0 B1 0000001DB0 21-06-2023 12:41:34
*B0 B1 0000001DB0 21-06-2023 13:41:34
*B0 B1 0000001DB0 21-06-2023 14:41:34
*B0 B1 0000001DB0 21-06-2023 15:41:34
*B0 B1 0000001DB0 21-06-2023 16:41:35
*B0 B1 0000001DB0 21-06-2023 17:41:35
